to_hop_thi,ma_nganh,diem_Van,diem_Dia,diem_Anh,diem_Toan,diem_Gdktpl,diem_Tin,diem_Su,diem_Ly,diem_Hoa,diem_Sinh,nguon,j_nganh,ma_nhom
A00,7850101,,,,7.2,,,,5.5,6.0,,ttth,38,7
D01,7340115,8.6,,8.6,7.5,,,,,,,ttth,3,1
D01,7340201,8.5,,7.0,7.6,,,,,,,ttth,8,2
B00,7540101,,,,7.75,,,,,7.75,7.2,ttth,28,7
D01,7340201,8.0,,7.2,8.2,,,,,,,ttth,8,2
D01,7220201,8.0,,7.4,8.0,,,,,,,ttth,0,8
D01,7540204,4.8,,7.8,7.5,,,,,,,ttth,31,6
A00,7540101,,,,8.5,,,,7.0,7.8,,ttth,28,7
D01,7480201,7.0,,8.6,6.8,,,,,,,ttth,16,0
D15,7810201,6.5,6.6,7.25,,,,,,,,ttth,34,4
A00,7380107,,,,8.0,,,,8.0,7.0,,ttth,12,8
D01,7340115,8.0,,7.2,8.25,,,,,,,ttth,3,1
A00,7480202,,,,7.5,,,,8.0,8.2,,ttth,17,0
A00,7510303,,,,6.5,,,,6.75,7.8,,ttth,21,5
D01,7220204,8.25,,8.4,6.8,,,,,,,ttth,1,8
A00,7480201,,,,8.6,,,,6.5,7.25,,ttth,16,0
A00,7340101,,,,7.8,,,,7.75,8.0,,ttth,2,1
D01,7340301,7.0,,8.6,7.6,,,,,,,ttth,10,2
B00,7510401,,,,8.0,,,,,8.5,6.5,ttth,22,6
D01,7340101,7.6,,8.2,7.75,,,,,,,ttth,2,1
A00,7340120,,,,8.0,,,,6.75,8.4,,ttth,4,1
D07,7540101,,,6.8,7.25,,,,,7.0,,ttth,28,7
A00,7480201,,,,7.25,,,,7.75,8.4,,ttth,16,0
A00,7540106,,,,6.5,,,,7.75,6.8,,ttth,30,7
D01,7340201,7.4,,7.0,8.5,,,,,,,ttth,8,2
D01,7810201,4.6,,6.0,6.75,,,,,,,ttth,34,4
A00,7340101,,,,7.25,,,,8.0,7.2,,ttth,2,1
A00,7340115,,,,8.0,,,,7.25,8.0,,ttth,3,1
D09,7220201,,,6.6,8.75,,,9.8,,,,ttth,0,8
A00,7340101,,,,7.5,,,,8.25,7.4,,ttth,2,1
B00,7540101,,,,7.75,,,,,7.0,7.6,ttth,28,7
D09,7220201,,,7.4,8.5,,,7.0,,,,ttth,0,8
D07,7460108,,,6.8,5.75,,,,,7.8,,ttth,14,0
D01,7510301,7.4,,7.2,7.5,,,,,,,ttth,20,5
A00,7810201,,,,6.0,,,,8.25,6.6,,ttth,34,4
A00,7340201,,,,7.25,,,,8.0,8.0,,ttth,8,2
A01,7480202,,,6.8,8.0,,,,6.5,,,ttth,17,0
D01,7220204,6.75,,9.6,7.8,,,,,,,ttth,1,8
D01,7510303,5.4,,7.0,6.25,,,,,,,ttth,21,5
D01,7340101,7.75,,8.8,7.0,,,,,,,ttth,2,1
A00,7810202,,,,7.6,,,,7.75,7.5,,ttth,35,4
A00,7480201,,,,7.8,,,,6.75,7.25,,ttth,16,0
D01,7340120,8.2,,7.4,8.0,,,,,,,ttth,4,1
A01,7480201,,,8.0,7.0,,,,6.6,,,ttth,16,0
D01,7380107,8.8,,8.2,5.75,,,,,,,ttth,12,8
B00,7420201,,,,6.25,,,,,6.5,6.6,ttth,13,7
D01,7810201,7.0,,7.8,7.8,,,,,,,ttth,34,4
D01,7220204,8.4,,7.0,7.5,,,,,,,ttth,1,8
D07,7480201,,,7.6,8.0,,,,,7.8,,ttth,16,0
A00,7510401,,,,6.8,,,,5.5,6.25,,ttth,22,6
D01,7340120,7.8,,6.8,8.75,,,,,,,ttth,4,1
A01,7480201,,,8.0,7.8,,,,7.5,,,ttth,16,0
D01,7340122,9.0,,7.6,6.5,,,,,,,ttth,5,1
D01,7220204,8.8,,7.6,7.75,,,,,,,ttth,1,8
A00,7340101,,,,7.5,,,,8.0,7.6,,ttth,2,1
D15,7810103,6.75,6.8,7.25,,,,,,,,ttth,33,4
D01,7520115,5.0,,6.0,6.5,,,,,,,ttth,27,6
A00,7340129,,,,7.4,,,,6.0,6.75,,ttth,7,7
A00,7380107,,,,7.4,,,,5.75,7.75,,ttth,12,8
A00,7480201,,,,6.25,,,,7.5,7.0,,ttth,16,0
D01,7340101,6.4,,8.2,8.25,,,,,,,ttth,2,1
D01,7810201,8.0,,7.8,7.6,,,,,,,ttth,34,4
A00,7340120,,,,8.4,,,,9.0,7.0,,ttth,4,1
D15,7810103,6.25,3.4,8.25,,,,,,,,ttth,33,4
A00,7510303,,,,6.8,,,,4.75,6.75,,ttth,21,5
B00,7540106,,,,7.25,,,,,8.25,7.0,ttth,30,7
D07,7510303,,,7.6,8.6,,,,,8.0,,ttth,21,5
A00,7510401,,,,7.2,,,,7.25,7.25,,ttth,22,6
A00,7340201,,,,7.75,,,,7.0,7.4,,ttth,8,2
A00,7340115,,,,7.0,,,,8.25,7.6,,ttth,3,1
A00,7340120,,,,6.75,,,,7.75,7.6,,ttth,4,1
A00,7340201,,,,8.75,,,,7.0,7.6,,ttth,8,2
D07,7819010,,,5.8,6.25,,,,,6.4,,ttth,37,4
A01,7220201,,,8.8,8.0,,,,7.0,,,ttth,0,8
A00,7510303,,,,8.2,,,,7.75,7.25,,ttth,21,5
A00,7510301,,,,6.6,,,,7.5,7.25,,ttth,20,5
A01,7340115,,,7.8,6.5,,,,8.0,,,ttth,3,1
A01,7510303,,,7.2,5.5,,,,7.6,,,ttth,21,5
A01,7510203,,,6.8,8.4,,,,6.25,,,ttth,19,5
D01,7220204,6.8,,8.0,8.0,,,,,,,ttth,1,8
D01,7340115,7.4,,8.0,8.25,,,,,,,ttth,3,1
A01,7540101,,,8.0,6.75,,,,6.6,,,ttth,28,7
D01,7480202,7.0,,6.8,7.0,,,,,,,ttth,17,0
D01,7340122,6.6,,6.8,9.0,,,,,,,ttth,5,1
A00,7340201,,,,7.0,,,,6.75,6.4,,ttth,8,2
A00,7480201,,,,8.0,,,,7.25,7.75,,ttth,16,0
D01,7340115,7.6,,7.4,9.5,,,,,,,ttth,3,1
A00,7810103,,,,6.75,,,,6.0,5.4,,ttth,33,4
A00,7340123,,,,4.25,,,,6.25,7.2,,ttth,6,3
A00,7510301,,,,8.0,,,,5.5,5.5,,ttth,20,5
D01,7510301,6.25,,5.8,7.2,,,,,,,ttth,20,5
D01,7340201,7.75,,8.2,6.8,,,,,,,ttth,8,2
D01,7810202,6.0,,7.2,8.25,,,,,,,ttth,35,4
D01,7520115,4.2,,4.4,7.5,,,,,,,ttth,27,6
A00,7340301,,,,7.25,,,,6.5,6.4,,ttth,10,2
A00,7850101,,,,7.0,,,,5.75,4.0,,ttth,38,7
D07,7540101,,,8.2,8.5,,,,,8.2,,ttth,28,7
D01,7220201,7.5,,8.8,7.0,,,,,,,ttth,0,8
D01,7810201,6.0,,7.6,8.25,,,,,,,ttth,34,4
B00,7540101,,,,8.25,,,,,6.0,8.2,ttth,28,7
A00,7480201,,,,8.6,,,,6.75,7.75,,ttth,16,0
A00,7340101,,,,7.75,,,,8.0,8.2,,ttth,2,1
D01,7340101,6.8,,7.4,7.5,,,,,,,ttth,2,1
A00,7480201,,,,8.4,,,,7.75,8.0,,ttth,16,0
D01,7340301,6.6,,7.2,8.0,,,,,,,ttth,10,2
A01,7510203,,,8.0,6.8,,,,5.0,,,ttth,19,5
D07,7480201,,,7.8,7.75,,,,,7.4,,ttth,16,0
D15,7810201,7.75,5.2,6.0,,,,,,,,ttth,34,4
A00,7340115,,,,9.2,,,,7.5,7.75,,ttth,3,1
A00,7850101,,,,5.75,,,,5.0,6.2,,ttth,38,7
A00,7340101,,,,8.0,,,,7.75,8.0,,ttth,2,1
D09,7220201,,,7.6,9.5,,,7.2,,,,ttth,0,8
A00,7510303,,,,5.25,,,,6.75,6.8,,ttth,21,5
A01,7340115,,,7.8,7.25,,,,7.6,,,ttth,3,1
D01,7480201,8.2,,7.4,7.0,,,,,,,ttth,16,0
A00,7340201,,,,8.4,,,,7.5,7.0,,ttth,8,2
D01,7340301,6.8,,6.2,7.0,,,,,,,ttth,10,2
D01,7340122,7.6,,6.8,7.75,,,,,,,ttth,5,1
D01,7510203,6.0,,5.2,5.8,,,,,,,ttth,19,5
D01,7340201,7.8,,6.4,7.25,,,,,,,ttth,8,2
D01,7480201,7.0,,7.6,8.2,,,,,,,ttth,16,0
D01,7340201,6.4,,6.8,8.0,,,,,,,ttth,8,2
A01,7340115,,,8.6,8.25,,,,7.0,,,ttth,3,1
A01,7480201,,,8.0,8.25,,,,7.0,,,ttth,16,0
A00,7810103,,,,7.8,,,,7.5,6.75,,ttth,33,4
D01,7340201,5.6,,7.4,7.25,,,,,,,ttth,8,2
D01,7510203,6.75,,5.0,7.8,,,,,,,ttth,19,5
D01,7340115,9.2,,7.6,7.25,,,,,,,ttth,3,1
A00,7480202,,,,7.2,,,,5.75,7.5,,ttth,17,0
D01,7510303,7.5,,6.8,7.2,,,,,,,ttth,21,5
A00,7480201,,,,7.8,,,,7.25,6.75,,ttth,16,0
D01,7340301,6.8,,6.8,7.75,,,,,,,ttth,10,2
D01,7340120,8.2,,6.6,7.75,,,,,,,ttth,4,1
D01,7220204,7.25,,8.2,7.4,,,,,,,ttth,1,8
D01,7480201,7.25,,8.0,6.8,,,,,,,ttth,16,0
D01,7510203,6.4,,6.2,6.75,,,,,,,ttth,19,5
A01,7380107,,,7.4,6.5,,,,8.8,,,ttth,12,8
B00,7540101,,,,7.5,,,,,7.25,7.0,ttth,28,7
D01,7810103,5.8,,6.8,7.0,,,,,,,ttth,33,4
D01,7340120,7.6,,7.8,7.5,,,,,,,ttth,4,1
D01,7380107,8.0,,8.4,7.4,,,,,,,ttth,12,8
A00,7810103,,,,8.0,,,,7.5,7.2,,ttth,33,4
A00,7340201,,,,7.25,,,,7.5,8.4,,ttth,8,2
D01,7510202,4.0,,6.0,6.5,,,,,,,ttth,18,5
D01,7480201,7.4,,7.6,6.75,,,,,,,ttth,16,0
D01,7380107,6.6,,8.2,7.25,,,,,,,ttth,12,8
D01,7380107,5.8,,7.0,7.0,,,,,,,ttth,12,8
D01,7810103,5.2,,6.6,7.5,,,,,,,ttth,33,4
D01,7340101,8.2,,8.2,7.5,,,,,,,ttth,2,1
B00,7819009,,,,6.0,,,,,6.5,6.8,ttth,36,4
A00,7480201,,,,8.6,,,,7.0,7.5,,ttth,16,0
B00,7819009,,,,6.75,,,,,5.5,6.8,ttth,36,4
D01,7460108,5.4,,6.0,6.0,,,,,,,ttth,14,0
A00,7810201,,,,5.75,,,,8.25,7.6,,ttth,34,4
A00,7520115,,,,6.0,,,,6.0,7.2,,ttth,27,6
D01,7340120,8.2,,7.0,7.0,,,,,,,ttth,4,1
D01,7340120,7.75,,8.2,7.6,,,,,,,ttth,4,1
A00,7340301,,,,7.0,,,,7.5,7.6,,ttth,10,2
A00,7480201,,,,8.0,,,,7.75,7.2,,ttth,16,0
A00,7510303,,,,8.6,,,,6.75,7.25,,ttth,21,5
D01,7340120,7.5,,9.0,7.6,,,,,,,ttth,4,1
D07,7850101,,,5.0,6.8,,,,,6.75,,ttth,38,7
D01,7510303,5.8,,7.6,7.5,,,,,,,ttth,21,5
D01,7340201,7.5,,7.6,7.8,,,,,,,ttth,8,2
D07,7540101,,,7.2,7.75,,,,,7.8,,ttth,28,7
A00,7810103,,,,8.25,,,,7.5,7.6,,ttth,33,4
D07,7480201,,,8.8,8.0,,,,,8.0,,ttth,16,0
D01,7340115,8.0,,8.0,8.0,,,,,,,ttth,3,1
D01,7520115,5.2,,7.4,6.0,,,,,,,ttth,27,6
D01,7510301,6.75,,5.4,6.4,,,,,,,ttth,20,5
D01,7380107,6.0,,8.2,7.75,,,,,,,ttth,12,8
A00,7510401,,,,6.25,,,,7.5,7.2,,ttth,22,6
A01,7340201,,,8.8,8.2,,,,7.5,,,ttth,8,2
D01,7510203,4.0,,6.4,6.0,,,,,,,ttth,19,5
D07,7480202,,,6.4,6.75,,,,,8.4,,ttth,17,0
D01,7510301,6.25,,7.6,7.6,,,,,,,ttth,20,5
D01,7480201,7.6,,7.4,6.25,,,,,,,ttth,16,0
D01,7480201,5.0,,8.4,8.25,,,,,,,ttth,16,0
D01,7220204,8.25,,6.6,7.8,,,,,,,ttth,1,8
D01,7340101,8.0,,7.6,7.8,,,,,,,ttth,2,1
A00,7819010,,,,5.5,,,,7.5,5.8,,ttth,37,4
A00,7340101,,,,8.2,,,,7.0,8.0,,ttth,2,1
D01,7520115,4.8,,6.6,6.25,,,,,,,ttth,27,6
D01,7220201,6.5,,9.4,8.4,,,,,,,ttth,0,8
D01,7340120,6.6,,6.8,8.0,,,,,,,ttth,4,1
A00,7480202,,,,8.0,,,,6.0,7.6,,ttth,17,0
B00,7420201,,,,7.4,,,,,6.0,6.25,ttth,13,7
A00,7540101,,,,8.0,,,,8.5,7.2,,ttth,28,7
D01,7340115,7.6,,7.6,7.25,,,,,,,ttth,3,1
A00,7480202,,,,7.75,,,,6.25,8.6,,ttth,17,0
A00,7510401,,,,5.75,,,,7.25,7.8,,ttth,22,6
D01,7340115,8.0,,7.6,8.4,,,,,,,ttth,3,1
D01,7810201,7.8,,7.4,7.75,,,,,,,ttth,34,4
B00,7540106,,,,7.75,,,,,6.75,5.8,ttth,30,7
D01,7810202,6.8,,7.6,8.5,,,,,,,ttth,35,4
B00,7510401,,,,6.75,,,,,4.5,7.0,ttth,22,6
A00,7510303,,,,7.0,,,,7.25,7.2,,ttth,21,5
D01,7380107,6.8,,7.2,8.0,,,,,,,ttth,12,8
D01,7340129,7.0,,8.0,7.25,,,,,,,ttth,7,7
D01,7220204,8.0,,7.8,7.5,,,,,,,ttth,1,8
A00,7340120,,,,7.75,,,,7.5,7.4,,ttth,4,1
A00,7340129,,,,7.0,,,,6.75,8.0,,ttth,7,7
A00,7540105,,,,6.2,,,,7.0,7.0,,ttth,29,7
A00,7340301,,,,7.25,,,,7.25,7.4,,ttth,10,2
A00,7540101,,,,6.5,,,,7.75,7.8,,ttth,28,7
D15,7810202,6.5,5.2,7.5,,,,,,,,ttth,35,4
D01,7340129,6.8,,7.0,8.0,,,,,,,ttth,7,7
A01,7540106,,,7.2,7.75,,,,5.8,,,ttth,30,7
A00,7340201,,,,7.0,,,,6.75,7.2,,ttth,8,2
D01,7510203,7.0,,7.0,7.6,,,,,,,ttth,19,5
A00,7340101,,,,7.5,,,,7.5,7.6,,ttth,2,1
A00,7819010,,,,7.0,,,,6.25,6.6,,ttth,37,4
D01,7480201,7.4,,7.4,8.5,,,,,,,ttth,16,0
A00,7340122,,,,7.75,,,,8.0,7.8,,ttth,5,1
D07,7480201,,,7.0,8.0,,,,,7.8,,ttth,16,0
B00,7420201,,,,7.75,,,,,6.5,7.6,ttth,13,7
D01,7380107,7.5,,8.4,6.0,,,,,,,ttth,12,8
A00,7340115,,,,6.75,,,,9.0,7.0,,ttth,3,1
A01,7480202,,,7.8,7.5,,,,7.8,,,ttth,17,0
A00,7510203,,,,7.4,,,,7.75,6.0,,ttth,19,5
D01,7480201,8.4,,7.8,5.25,,,,,,,ttth,16,0
A00,7340201,,,,5.75,,,,7.25,7.0,,ttth,8,2
D07,7510401,,,8.6,6.25,,,,,6.2,,ttth,22,6
A00,7510301,,,,8.0,,,,6.25,7.25,,ttth,20,5
A00,7480201,,,,8.0,,,,7.75,7.6,,ttth,16,0
D01,7810201,5.8,,6.8,6.75,,,,,,,ttth,34,4
A01,7340301,,,6.8,7.5,,,,6.6,,,ttth,10,2
A00,7510202,,,,6.5,,,,7.5,6.8,,ttth,18,5
A00,7340201,,,,7.5,,,,7.5,7.2,,ttth,8,2
A01,7480201,,,8.4,7.6,,,,6.75,,,ttth,16,0
A00,7340201,,,,7.75,,,,7.5,8.0,,ttth,8,2
D01,7220201,7.2,,7.4,9.0,,,,,,,ttth,0,8
A00,7340115,,,,7.75,,,,7.75,8.6,,ttth,3,1
A01,7480201,,,9.0,8.2,,,,6.5,,,ttth,16,0
A00,7510301,,,,7.5,,,,7.0,8.2,,ttth,20,5
A00,7540105,,,,8.2,,,,4.75,7.5,,ttth,29,7
D07,7420201,,,6.6,6.75,,,,,7.0,,ttth,13,7
D01,7510203,6.0,,4.2,6.0,,,,,,,ttth,19,5
A01,7340115,,,8.6,7.5,,,,8.6,,,ttth,3,1
D01,7810201,7.6,,7.2,7.0,,,,,,,ttth,34,4
D01,7480201,6.2,,7.8,7.25,,,,,,,ttth,16,0
D01,7480201,7.75,,8.4,6.4,,,,,,,ttth,16,0
D01,7340101,6.0,,7.8,8.75,,,,,,,ttth,2,1
A00,7540204,,,,6.6,,,,5.5,7.25,,ttth,31,6
D01,7220201,8.2,,7.8,8.25,,,,,,,ttth,0,8
D01,7510203,6.5,,6.4,8.0,,,,,,,ttth,19,5
A00,7819009,,,,5.75,,,,6.5,6.0,,ttth,36,4
A00,7540106,,,,7.8,,,,5.5,6.5,,ttth,30,7
D01,7340115,6.6,,8.4,9.5,,,,,,,ttth,3,1
B00,7420201,,,,6.0,,,,,7.75,7.0,ttth,13,7
D01,7510301,5.75,,8.8,4.6,,,,,,,ttth,20,5
A00,7510303,,,,6.5,,,,7.25,8.4,,ttth,21,5
D01,7480202,6.0,,7.0,7.0,,,,,,,ttth,17,0
A01,7340301,,,7.6,7.0,,,,7.4,,,ttth,10,2
A00,7540101,,,,7.0,,,,7.25,7.4,,ttth,28,7
D01,7480201,6.4,,7.6,7.5,,,,,,,ttth,16,0
D01,7340115,8.6,,7.0,8.0,,,,,,,ttth,3,1
D01,7340115,6.0,,7.2,9.0,,,,,,,ttth,3,1
A00,7380107,,,,7.5,,,,7.5,6.6,,ttth,12,8
D07,7540106,,,7.4,6.5,,,,,5.0,,ttth,30,7
D01,7220204,7.6,,7.6,8.25,,,,,,,ttth,1,8
A00,7510203,,,,7.0,,,,5.75,8.5,,ttth,19,5
A00,7340122,,,,7.0,,,,7.25,7.8,,ttth,5,1
D01,7340101,8.4,,7.2,7.0,,,,,,,ttth,2,1
A00,7510303,,,,7.2,,,,6.75,6.75,,ttth,21,5
A00,7510303,,,,7.8,,,,6.5,6.25,,ttth,21,5
D01,7340120,7.0,,7.2,7.75,,,,,,,ttth,4,1
D01,7460108,4.8,,5.8,8.0,,,,,,,ttth,14,0
D01,7220204,8.0,,8.0,8.4,,,,,,,ttth,1,8
A01,7340301,,,7.6,7.75,,,,7.4,,,ttth,10,2
A00,7540101,,,,7.75,,,,8.5,7.8,,ttth,28,7
D01,7380107,6.8,,8.8,7.5,,,,,,,ttth,12,8
A00,7340201,,,,8.8,,,,7.75,8.25,,ttth,8,2
D01,7480201,7.4,,7.6,7.25,,,,,,,ttth,16,0
D01,7510301,6.0,,7.6,7.75,,,,,,,ttth,20,5
D01,7480201,6.75,,8.8,7.8,,,,,,,ttth,16,0
A00,7810202,,,,8.25,,,,7.25,6.4,,ttth,35,4
D01,7510203,7.4,,6.6,4.25,,,,,,,ttth,19,5
D01,7510301,6.4,,7.0,8.5,,,,,,,ttth,20,5
D01,7340201,8.25,,7.6,8.0,,,,,,,ttth,8,2
D07,7540101,,,9.0,7.8,,,,,8.0,,ttth,28,7
A00,7480202,,,,6.75,,,,8.25,8.4,,ttth,17,0
A00,7340115,,,,8.5,,,,8.75,7.8,,ttth,3,1
B00,7540101,,,,7.25,,,,,7.25,7.6,ttth,28,7
B00,7420201,,,,8.0,,,,,7.5,7.25,ttth,13,7
A01,7340120,,,7.6,7.75,,,,8.0,,,ttth,4,1
A00,7340101,,,,8.0,,,,6.0,8.6,,ttth,2,1
A01,7540101,,,9.0,7.4,,,,8.25,,,ttth,28,7
D01,7340201,6.0,,6.0,8.0,,,,,,,ttth,8,2
A00,7510203,,,,6.8,,,,6.0,7.0,,ttth,19,5
D07,7510401,,,7.2,7.0,,,,,6.4,,ttth,22,6
A01,7480201,,,8.0,9.25,,,,8.6,,,ttth,16,0
D01,7480201,6.75,,8.6,8.0,,,,,,,ttth,16,0
D07,7480201,,,7.8,8.0,,,,,7.2,,ttth,16,0
A00,7540101,,,,7.25,,,,7.0,6.8,,ttth,28,7
A01,7510203,,,7.2,7.25,,,,7.6,,,ttth,19,5
A00,7340120,,,,8.25,,,,7.75,8.2,,ttth,4,1
A01,7480201,,,9.4,7.0,,,,7.25,,,ttth,16,0
D01,7380107,5.8,,6.8,9.25,,,,,,,ttth,12,8
A01,7480202,,,6.0,6.8,,,,6.75,,,ttth,17,0
D01,7810202,7.0,,7.0,8.2,,,,,,,ttth,35,4
D01,7540204,4.6,,7.0,7.0,,,,,,,ttth,31,6
D01,7510303,6.25,,3.4,8.4,,,,,,,ttth,21,5
B00,7540106,,,,6.0,,,,,6.5,6.6,ttth,30,7
A00,7540101,,,,7.0,,,,7.0,6.8,,ttth,28,7
D01,7380107,7.5,,7.0,7.4,,,,,,,ttth,12,8
A00,7340129,,,,7.5,,,,7.0,7.8,,ttth,7,7
A00,7340301,,,,7.0,,,,7.25,7.4,,ttth,10,2
A00,7340129,,,,7.5,,,,8.0,7.4,,ttth,7,7
B00,7420201,,,,5.5,,,,,7.0,6.6,ttth,13,7
D01,7340301,7.0,,7.8,8.2,,,,,,,ttth,10,2
D01,7340120,9.0,,6.8,7.8,,,,,,,ttth,4,1
D01,7340201,6.8,,7.2,6.75,,,,,,,ttth,8,2
B00,7420201,,,,7.6,,,,,7.5,6.25,ttth,13,7
D01,7340101,6.2,,7.8,9.0,,,,,,,ttth,2,1
D01,7340301,7.4,,6.8,6.5,,,,,,,ttth,10,2
D01,7340301,6.8,,7.4,6.5,,,,,,,ttth,10,2
D01,7220204,8.75,,7.4,6.6,,,,,,,ttth,1,8
D01,7810201,6.0,,8.6,8.0,,,,,,,ttth,34,4
D01,7810201,4.6,,6.8,7.0,,,,,,,ttth,34,4
D09,7220201,,,6.6,7.75,,,6.8,,,,ttth,0,8
A00,7480202,,,,8.25,,,,7.25,7.0,,ttth,17,0
D01,7340301,6.75,,8.8,7.8,,,,,,,ttth,10,2
D01,7510202,5.5,,5.6,6.8,,,,,,,ttth,18,5
A00,7340101,,,,7.8,,,,7.0,8.5,,ttth,2,1
A00,7340129,,,,7.25,,,,8.25,8.2,,ttth,7,7
A00,7340101,,,,7.75,,,,7.5,8.4,,ttth,2,1
D01,7340129,7.75,,5.8,6.8,,,,,,,ttth,7,7
A01,7810103,,,8.0,8.4,,,,6.5,,,ttth,33,4
B00,7819010,,,,4.5,,,,,7.0,5.8,ttth,37,4
A00,7540101,,,,7.25,,,,8.0,6.8,,ttth,28,7
D01,7510202,6.2,,7.0,7.5,,,,,,,ttth,18,5
B00,7540101,,,,8.25,,,,,7.5,7.4,ttth,28,7
A00,7810202,,,,6.5,,,,5.5,7.4,,ttth,35,4
A00,7480201,,,,7.4,,,,7.25,7.5,,ttth,16,0
D01,7340115,7.2,,8.0,8.75,,,,,,,ttth,3,1
D07,7540204,,,6.6,8.0,,,,,6.0,,ttth,31,6
D01,7520115,5.2,,6.0,7.0,,,,,,,ttth,27,6
D01,7340101,6.6,,7.0,8.25,,,,,,,ttth,2,1
A00,7340205,,,,7.5,,,,7.25,7.2,,ttth,9,2
D01,7510203,5.75,,4.8,5.6,,,,,,,ttth,19,5
A01,7480201,,,8.4,7.4,,,,7.75,,,ttth,16,0
A01,7810103,,,8.0,8.0,,,,6.75,,,ttth,33,4
B00,7510401,,,,7.4,,,,,7.0,6.25,ttth,22,6
D01,7480201,7.4,,7.8,8.5,,,,,,,ttth,16,0
D01,7480202,6.0,,6.4,5.6,,,,,,,ttth,17,0
A01,7480201,,,8.0,7.6,,,,8.0,,,ttth,16,0
A00,7340120,,,,7.5,,,,7.75,7.6,,ttth,4,1
A00,7340201,,,,7.6,,,,7.25,8.0,,ttth,8,2
A01,7220201,,,8.8,7.8,,,,6.5,,,ttth,0,8
D01,7340129,6.2,,6.6,8.25,,,,,,,ttth,7,7
D01,7480201,5.6,,8.8,9.0,,,,,,,ttth,16,0
A00,7480202,,,,7.2,,,,6.25,6.25,,ttth,17,0
A01,7510202,,,7.6,8.0,,,,6.0,,,ttth,18,5
A00,7380107,,,,6.25,,,,7.25,6.6,,ttth,12,8
A00,7340120,,,,7.75,,,,9.0,7.4,,ttth,4,1
A01,7340205,,,7.8,6.5,,,,8.6,,,ttth,9,2
A00,7510303,,,,7.0,,,,5.25,4.75,,ttth,21,5
A01,7540101,,,7.0,6.5,,,,8.2,,,ttth,28,7
A00,7340122,,,,8.0,,,,8.0,6.6,,ttth,5,1
D01,7340301,7.25,,7.8,8.0,,,,,,,ttth,10,2
D01,7480201,7.2,,8.0,8.75,,,,,,,ttth,16,0
D01,7220204,6.4,,7.8,8.25,,,,,,,ttth,1,8
A00,7340201,,,,6.25,,,,7.25,7.2,,ttth,8,2
D01,7340129,7.0,,7.4,7.4,,,,,,,ttth,7,7
A00,7510301,,,,6.8,,,,6.0,8.0,,ttth,20,5
A00,7510203,,,,6.25,,,,6.25,7.4,,ttth,19,5
A01,7510202,,,8.4,7.2,,,,5.75,,,ttth,18,5
A00,7480201,,,,8.5,,,,8.25,7.2,,ttth,16,0
D01,7510303,6.75,,3.8,7.4,,,,,,,ttth,21,5
D01,7810201,6.8,,7.4,7.5,,,,,,,ttth,34,4
D01,7510202,3.2,,6.0,7.0,,,,,,,ttth,18,5
A00,7480201,,,,7.25,,,,8.25,7.6,,ttth,16,0
A01,7540101,,,7.4,6.5,,,,8.4,,,ttth,28,7
A00,7480201,,,,6.5,,,,7.25,8.0,,ttth,16,0
D01,7220204,7.8,,7.0,7.25,,,,,,,ttth,1,8
D01,7220204,7.5,,8.0,7.4,,,,,,,ttth,1,8
D01,7810202,7.5,,6.4,8.2,,,,,,,ttth,35,4
A00,7540101,,,,8.0,,,,7.5,7.6,,ttth,28,7
D01,7340301,7.5,,7.6,7.2,,,,,,,ttth,10,2
B00,7540101,,,,7.0,,,,,7.5,7.6,ttth,28,7
A00,7340115,,,,7.0,,,,7.25,9.0,,ttth,3,1
D01,7340115,6.8,,8.2,8.75,,,,,,,ttth,3,1
A00,7340120,,,,6.5,,,,7.25,8.0,,ttth,4,1
D09,7220204,,,6.6,8.5,,,5.8,,,,ttth,1,8
B00,7420201,,,,7.75,,,,,7.0,6.8,ttth,13,7
B00,7819010,,,,7.75,,,,,7.5,7.8,ttth,37,4
A00,7819009,,,,6.0,,,,7.0,6.0,,ttth,36,4
A00,7480202,,,,7.5,,,,6.0,6.8,,ttth,17,0
D01,7220204,7.2,,7.0,7.5,,,,,,,ttth,1,8
D01,7510301,6.25,,4.8,6.4,,,,,,,ttth,20,5
A01,7340201,,,6.8,8.6,,,,7.25,,,ttth,8,2
D01,7380107,8.2,,7.8,6.0,,,,,,,ttth,12,8
D01,7810201,5.4,,7.0,6.25,,,,,,,ttth,34,4
D01,7480201,6.6,,7.2,8.0,,,,,,,ttth,16,0
A00,7480201,,,,8.0,,,,7.5,7.0,,ttth,16,0
D07,7420201,,,7.6,6.75,,,,,8.0,,ttth,13,7
A01,7340101,,,8.4,8.6,,,,8.0,,,ttth,2,1
A00,7380107,,,,8.2,,,,7.0,7.75,,ttth,12,8
D07,7540106,,,7.0,7.0,,,,,7.5,,ttth,30,7
D01,7340120,7.2,,8.0,8.75,,,,,,,ttth,4,1
D01,7340101,7.0,,7.8,7.0,,,,,,,ttth,2,1
D01,7480202,4.8,,8.0,7.5,,,,,,,ttth,17,0
A00,7340301,,,,7.25,,,,7.0,7.8,,ttth,10,2
B00,7540101,,,,8.5,,,,,9.25,8.2,ttth,28,7
D01,7340122,8.4,,7.6,7.25,,,,,,,ttth,5,1
D07,7480201,,,8.2,8.0,,,,,7.5,,ttth,16,0
A01,7480201,,,8.2,8.5,,,,8.8,,,ttth,16,0
